cluster	A_SBS18	B_SBS38	C_SBS40	D_TMZ	E_SBS31	F_SBS35
1	83.3215641322818	104.210884044894	544.478147017416	0	22.3980078892467	0
2	39.7506084891876	132.600860247334	117.474785015782	0	0	0
3	297.422561761735	546.197694142074	2023.96717346789	1483.75639794976	0	542.800075063751
4	176.654101745491	134.84534350896	604.466551045952	0	0	131.18533609221
5	0	509.772183443557	783.860615902408	2580.89737000649	0	0
6	122.32329019871	176.93187078057	1220.81918571998	0	107.131730615199	0
7	19.5758294494917	14.4692012919889	47.9332575032856	0	0	0
8	180.525514896538	250.210105434731	371.721536983858	2709.25684352349	0	184.739160393686
