Samples	ID1	ID2	ID3	ID5	ID9	ID10
I-H-132378-T4-1-D1-2	173	151	55	0	0	0
I-H-132379-T4-1-D1-2	25	46	0	0	27	7
I-H-132379-T5-1-D1-2	86	125	0	0	63	24
I-H-132379-T6-1-D1-2	204	266	0	348	380	306
I-H-132380-T4-1-D1-2	74	63	48	0	52	0
I-H-132380-T5-1-D1-2	145	113	138	0	202	57
I-H-132381-T3-1-D1-2	115	165	0	0	0	0
I-H-132381-T4-1-D1-2	279	527	46	0	0	0
I-H-132382-T3-1-D1-2	239	280	0	0	0	0
I-H-132382-T4-1-D1-2	410	501	97	0	0	0
I-H-132383-T10-1-D1-2	48	46	25	24	0	22
I-H-132383-T11-1-D1-2	10	20	0	14	0	5
I-H-132383-T12-1-D1-2	57	59	0	0	25	6
I-H-132383-T7-1-D1-2	21	34	17	24	0	0
I-H-132383-T8-1-D1-2	22	17	23	26	0	18
I-H-132384-T10-1-D1-2	72	109	23	0	0	0
I-H-132384-T11-1-D1-2	49	98	0	18	0	0
I-H-132384-T12-1-D1-2	61	77	20	0	0	0
I-H-132384-T13-1-D1-2	73	115	0	25	0	0
I-H-132384-T15-1-D1-2	104	139	130	196	0	142
I-H-132386-T5-2-D1-1	158	167	0	32	0	0
I-H-132386-T6-2-D1-1	191	217	25	0	0	0
I-H-132386-T7-2-D1-1	181	204	30	0	0	0
I-H-132387-T5-1-D1-2	63	162	0	0	57	14
I-H-132387-T6-1-D1-2	83	198	62	0	106	44
I-H-132387-T7-1-D1-2	138	271	352	450	0	343
I-H-132388-T7-1-D1-2	119	161	0	98	0	69
I-H-132388-T8-1-D1-2	118	219	66	65	0	52
I-H-132388-T9-1-D1-2	21	19	30	37	0	24
I-H-132389-T4-1-D1-2	82	82	45	0	0	19
I-H-132392-T6-1-D1-2	122	356	86	0	144	0
I-H-132392-T7-1-D1-2	39	115	45	0	149	38
I-H-132392-T8-1-D1-2	256	730	143	0	336	0
I-H-132395-T5-1-D1-2	60	66	0	53	0	24
I-H-132396-T5-1-D1-2	13	12	8	14	0	0
I-H-132396-T6-1-D1-2	85	109	0	0	37	0
I-H-132396-T7-1-D1-2	139	207	39	0	50	0
I-H-132397-T3-1-D1-2	171	228	111	0	0	34
I-H-132397-T4-1-D1-2	244	273	74	0	91	0
I-H-133120-T10-1-D1-2	50	54	37	37	0	17
I-H-133120-T11-1-D1-2	144	135	144	0	208	119
I-H-133120-T9-1-D1-2	66	85	38	36	0	0
I-H-133121-T5-1-D1-2	79	53	56	39	0	33
I-H-133121-T6-1-D1-2	143	82	51	63	0	54
I-H-134722-T20-2-D1-1	366	153	90	0	72	0
I-H-134722-T21-2-D1-1	363	141	188	0	146	85
I-H-134722-T22-2-D1-1	339	131	203	0	0	68
I-H-134722-T23-2-D1-1	356	154	211	170	0	93
I-H-134722-T24-2-D1-1	390	159	245	155	0	168
I-H-134755-T1-1-D1-1	8	9	9	0	0	0
I-H-134817-T11-3-D1-1	11	9	0	0	16	5
I-H-134817-T12-3-D1-1	24	37	0	30	0	11
I-H-134817-T13-3-D1-1	19	25	0	20	30	8
I-H-134817-T14-3-D1-1	14	26	76	0	35	30
I-H-134817-T9-3-D1-1	8	12	0	0	12	4
I-H-134818-T8-3-D1-1	94	198	0	34	0	0
I-H-134818-T9-3-D1-1	50	89	31	28	0	0
I-H-134819-T11-3-D1-1	115	326	110	0	101	55
I-H-134819-T12-3-D1-1	89	313	287	0	197	98
I-H-134819-T14-3-D1-1	146	508	365	0	0	0
I-H-134819-T15-3-D1-1	120	425	324	0	224	115
I-H-134819-T16-3-D1-1	111	406	428	234	0	102
I-H-134819-T9-3-D1-1	16	19	0	0	30	0
I-H-134820-T11-3-D1-1	137	252	31	0	0	0
I-H-134820-T14-3-D1-1	169	307	59	0	0	0
I-H-134820-T16-3-D1-1	201	321	64	0	0	0
I-H-134821-T10-3-D1-1	175	151	0	0	81	32
I-H-134821-T12-3-D1-1	171	145	60	64	0	0
I-H-134821-T13-3-D1-1	143	147	51	65	0	0
I-H-134821-T14-3-D1-1	202	187	0	0	91	0
I-H-134821-T15-3-D1-1	149	148	48	64	0	0
I-H-134821-T17-3-D1-1	178	161	245	212	0	121
I-H-134821-T18-3-D1-1	217	152	207	207	0	104
I-H-134822-T10-3-D1-1	54	31	59	45	0	19
I-H-134822-T7-3-D1-1	162	119	67	47	0	0
I-H-134822-T8-3-D1-1	23	10	14	10	22	8
I-H-134822-T9-3-D1-1	135	88	70	58	0	0
I-H-135088-T1-2-D1-1	137	112	139	180	0	159
I-H-135089-T1-2-D1-1	16	56	0	0	40	16
I-H-135089-T2-2-D1-1	12	8	0	0	14	16
I-H-135421-T1-2-D1-1	75	122	38	33	0	0
I-H-135463-T1-2-D1-1	82	69	0	0	49	24
I-H-135467-T1-2-D1-1	43	62	0	0	21	0
I-H-135973-T1-2-D1-1	98	67	0	41	0	0
I-H-135988-T1-2-D1-1	12	25	0	18	0	0
I-H-136083-T1-2-D1-1	38	53	0	0	23	14
I-H-136134-T1-1-D1-1	378	234	183	154	0	106
I-H-136425-T1-1-D1-1	249	304	0	0	0	23
IID_H118706_T20_01_WG01	201	623	0	0	0	0
IID_H136574_T05_01_WG01	17	7	29	40	0	18
IID_H136648_T01_01_WG01	111	134	0	46	0	26
IID_H136649_T01_01_WG01	256	200	0	0	40	61
IID_H156379_T01_01_WG01	7	3	13	0	0	8
IID_H156418_T01_01_WG01	61	28	16	14	0	13
IID_H158183_T01_01_WG01	126	98	0	48	0	31
IID_H158184_T01_01_WG01	94	98	0	0	55	0
IID_H158270_T01_01_WG01	13	15	0	0	25	0
IID_H158271_T01_01_WG01	30	40	9	0	0	0
IID_H159103_T01_01_WG01	50	87	28	0	0	0
IID_H159371_T01_01_WG01	12	25	0	0	7	0
IID_H159446_T01_01_WG01	163	203	147	288	0	172
IID_H195918_T01_01_WG01	6	22	14	3	0	6
IID_H195922_T01_01_WG01	517	664	159	0	432	259
IID_H196227_T01_01_WG01	32	21	0	0	7	0
IID_H196390_T01_01_WG01	92	68	71	37	0	0
IID_H196438_T03_01_WG01	103	139	54	88	0	0
IID_H196807_T01_01_WG01	257	358	0	0	44	0
IID_H196807_T02_01_WG01	11	11	15	17	0	8
IID_H197217_T01_01_WG01	21	38	32	0	0	19
IID_H197221_T01_01_WG01	8	2	8	14	0	9
IID_H198663_T01_01_WG01	18	29	0	29	0	0
IID_H198664_T01_01_WG01	8	9	0	0	42	15
IID_H200645_T01_01_WG01	70	163	0	0	51	0
IID_H201471_T01_01_WG01	173	336	111	115	0	0
IID_H201473_T02_01_WG01	121	129	0	0	30	0
IID_H201502_T01_01_WG01	22	27	0	23	32	20
IID_H201502_T02_01_WG01	32	32	19	31	0	18
IID_H201502_T03_01_WG01	14	20	20	20	0	16
IID_H201561_T01_01_WG01	58	53	42	42	0	25
IID_H201562_T01_01_WG01	75	136	0	0	25	0
IID_H201562_T02_01_WG01	49	67	23	25	0	0
IID_H201568_T01_01_WG01	332	315	214	207	0	133
IID_H201572_T01_01_WG01	87	163	0	0	33	0
IID_H201574_T01_01_WG01	71	80	11	0	0	9
IID_H201574_T02_01_WG01	26	24	0	21	0	10
IID_H201601_T01_01_WG01	50	83	0	0	76	21
IID_H201601_T02_01_WG01	5	6	0	11	29	9
IID_H201603_T01_01_WG01	183	86	32	47	0	0
