cluster	A_SBS18	B_SBS38	C_SBS40	D_TMZ	E_SBS31	F_SBS35
1	112.42976316354	115.163323124879	364.512931136036	0	0	0
2	263.642650193653	90.3047987333313	351.257715754168	0	0	0
3	422.378848284063	70.0484302107891	89.6388300556278	0	0	0
4	107.522185953028	35.6164121814978	269.879947244676	0	0	0
5	57.8611362020793	23.1560139867549	15.7617246926353	0	0	0
6	266.057202859107	21.5891870242934	210.505401443611	0	0	0
7	10.7132488501828	19.9967855232929	24.2824670384814	0	0	0
8	184.03866520987	0	514.766153308319	0	0	0
